,Nombre_municipio,Month,District,ServiceType,day,weekday,Date,NumberOT
350,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,22,5,2019-06-22,2
351,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,23,6,2019-06-23,1
352,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,24,0,2019-06-24,1
353,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,27,3,2019-06-27,3
354,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,28,4,2019-06-28,1
355,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,29,5,2019-06-29,1
356,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,30,6,2019-06-30,2
358,APARTADÓ,6,Turbo TyD,Daños Energía,5,2,2019-06-05,1
360,APARTADÓ,6,Turbo TyD,Daños Energía,11,1,2019-06-11,1
361,APARTADÓ,6,Turbo TyD,Daños Energía,19,2,2019-06-19,1
362,APARTADÓ,6,Turbo TyD,Daños Energía,24,0,2019-06-24,1
363,APARTADÓ,6,Turbo TyD,Daños Energía,28,4,2019-06-28,1
364,APARTADÓ,6,Turbo TyD,Daños Energía,30,6,2019-06-30,1
365,APARTADÓ,6,Turbo TyD,Mantenimiento Energía,4,1,2019-06-04,2
366,APARTADÓ,6,Turbo TyD,Mantenimiento Energía,21,4,2019-06-21,1
367,APARTADÓ,7,Apartado TyD,Daños Energía,1,0,2019-07-01,4
369,APARTADÓ,7,Apartado TyD,Daños Energía,3,2,2019-07-03,12
370,APARTADÓ,7,Apartado TyD,Daños Energía,4,3,2019-07-04,6
371,APARTADÓ,7,Apartado TyD,Daños Energía,5,4,2019-07-05,11
374,APARTADÓ,7,Apartado TyD,Daños Energía,8,0,2019-07-08,13
375,APARTADÓ,7,Apartado TyD,Daños Energía,9,1,2019-07-09,20
376,APARTADÓ,7,Apartado TyD,Daños Energía,10,2,2019-07-10,8
377,APARTADÓ,7,Apartado TyD,Daños Energía,11,3,2019-07-11,7
378,APARTADÓ,7,Apartado TyD,Daños Energía,12,4,2019-07-12,17
379,APARTADÓ,7,Apartado TyD,Daños Energía,13,5,2019-07-13,14
380,APARTADÓ,7,Apartado TyD,Daños Energía,14,6,2019-07-14,3
381,APARTADÓ,7,Apartado TyD,Daños Energía,15,0,2019-07-15,13
382,APARTADÓ,7,Apartado TyD,Daños Energía,16,1,2019-07-16,9
384,APARTADÓ,7,Apartado TyD,Daños Energía,18,3,2019-07-18,10
385,APARTADÓ,7,Apartado TyD,Daños Energía,19,4,2019-07-19,9
386,APARTADÓ,7,Apartado TyD,Daños Energía,20,5,2019-07-20,9
387,APARTADÓ,7,Apartado TyD,Daños Energía,21,6,2019-07-21,1
388,APARTADÓ,7,Apartado TyD,Daños Energía,22,0,2019-07-22,14
389,APARTADÓ,7,Apartado TyD,Daños Energía,23,1,2019-07-23,16
391,APARTADÓ,7,Apartado TyD,Daños Energía,25,3,2019-07-25,5
392,APARTADÓ,7,Apartado TyD,Daños Energía,26,4,2019-07-26,8
393,APARTADÓ,7,Apartado TyD,Daños Energía,27,5,2019-07-27,8
395,APARTADÓ,7,Apartado TyD,Daños Energía,29,0,2019-07-29,17
401,APARTADÓ,7,Apartado TyD,Mantenimiento Energía,5,4,2019-07-05,1
402,APARTADÓ,7,Apartado TyD,Mantenimiento Energía,6,5,2019-07-06,3
404,APARTADÓ,7,Apartado TyD,Mantenimiento Energía,9,1,2019-07-09,34
405,APARTADÓ,7,Apartado TyD,Mantenimiento Energía,10,2,2019-07-10,2
407,APARTADÓ,7,Apartado TyD,Mantenimiento Energía,15,0,2019-07-15,2
408,APARTADÓ,7,Apartado TyD,Mantenimiento Energía,17,2,2019-07-17,1
409,APARTADÓ,7,Apartado TyD,Mantenimiento Energía,18,3,2019-07-18,2
410,APARTADÓ,7,Apartado TyD,Mantenimiento Energía,19,4,2019-07-19,2
411,APARTADÓ,7,Apartado TyD,Mantenimiento Energía,22,0,2019-07-22,10
412,APARTADÓ,7,Apartado TyD,Mantenimiento Energía,25,3,2019-07-25,16
